date,year,month,day_of_week,is_weekend,is_holiday_fr,visits_count,admissions_count,lwbs_count,avg_wait_time,avg_los_ed,beds_total,beds_occupied,icu_beds_total,icu_beds_occupied,staff_doctors_available,staff_nurses_available,staff_absence_rate,ppe_stock_index,critical_stockout,flu_level,bronchiolitis_level,covid_level,heatwave,strike,mass_casualty_event
2022-01-22,2022,1,5,1,0,90,30,2,99.4,216.7,1800,1646,120,109,31,83,0.133,68,0,0.617,0.0,0.697,0,0,0
2022-01-23,2022,1,6,1,0,100,37,3,80.6,220.6,1800,1598,120,113,33,87,0.089,70,0,0.642,0.0,0.7,0,0,0
2022-01-24,2022,1,0,0,0,99,32,1,69.1,189.7,1800,1709,120,110,41,108,0.099,70,0,0.666,0.0,0.7,0,0,0
2022-01-25,2022,1,1,0,0,91,40,3,71.3,195.9,1800,1623,120,118,39,105,0.125,63,0,0.688,0.0,0.697,0,0,0
2022-01-26,2022,1,2,0,0,85,21,3,70.1,178.6,1800,1536,120,114,42,111,0.076,74,0,0.709,0.0,0.691,0,0,0
2022-01-27,2022,1,3,0,0,86,31,2,68.7,180.5,1800,1573,120,118,40,106,0.119,77,0,0.728,0.0,0.683,0,0,0
2022-01-28,2022,1,4,0,0,89,33,0,65.0,168.4,1800,1494,120,113,41,108,0.1,70,0,0.746,0.0,0.673,0,0,0
2022-01-29,2022,1,5,1,0,97,36,5,71.7,204.5,1800,1630,120,115,32,84,0.122,67,0,0.761,0.0,0.659,0,0,0
2022-01-30,2022,1,6,1,0,97,32,3,71.6,198.6,1800,1633,120,106,32,87,0.099,67,0,0.773,0.0,0.644,0,0,0
2022-01-31,2022,1,0,0,0,112,37,3,76.4,198.5,1800,1620,120,111,39,105,0.129,62,0,0.784,0.0,0.626,0,0,0
2022-02-01,2022,2,1,0,0,88,20,2,75.7,226.2,1800,1696,120,114,40,106,0.12,65,0,0.792,0.0,0.607,0,0,0
2022-02-02,2022,2,2,0,0,82,18,0,67.5,194.7,1800,1702,120,118,38,102,0.148,68,0,0.797,0.0,0.586,0,0,0
2022-02-03,2022,2,3,0,0,78,26,3,74.2,188.4,1800,1627,120,113,40,106,0.119,67,0,0.8,0.0,0.563,0,0,0
2022-02-04,2022,2,4,0,0,86,27,2,81.8,182.3,1800,1519,120,118,40,108,0.103,69,0,0.8,0.0,0.539,0,0,0
2022-02-05,2022,2,5,1,0,95,21,9,84.2,228.4,1800,1666,120,114,32,85,0.113,73,0,0.797,0.0,0.514,0,0,0
2022-02-06,2022,2,6,1,0,89,19,1,83.5,234.8,1800,1661,120,118,33,87,0.09,64,0,0.792,0.0,0.488,0,0,0
2022-02-07,2022,2,0,0,0,92,31,4,76.6,199.9,1800,1646,120,109,39,105,0.124,61,0,0.784,0.0,0.462,0,0,0
2022-02-08,2022,2,1,0,0,84,22,6,75.1,194.8,1800,1680,120,118,39,105,0.127,61,0,0.773,0.0,0.436,0,0,0
2022-02-09,2022,2,2,0,0,85,34,1,73.6,191.8,1800,1562,120,105,38,100,0.164,63,0,0.761,0.0,0.409,0,0,0
2022-02-10,2022,2,3,0,0,82,25,2,87.5,227.7,1800,1731,120,102,40,108,0.101,69,0,0.746,0.0,0.382,0,0,0
2022-02-11,2022,2,4,0,0,83,23,2,59.5,187.5,1800,1568,120,99,40,107,0.106,73,0,0.728,0.0,0.356,0,0,0
2022-02-12,2022,2,5,1,0,85,22,7,114.0,217.8,1800,1657,120,118,32,86,0.099,75,0,0.709,0.0,0.33,0,0,0
2022-02-13,2022,2,6,1,0,89,19,5,101.9,208.4,1800,1523,120,109,32,85,0.114,71,0,0.688,0.0,0.305,0,0,0
2022-02-14,2022,2,0,0,0,94,26,1,74.0,179.0,1800,1561,120,101,40,106,0.116,68,0,0.666,0.0,0.281,0,0,0
2022-02-15,2022,2,1,0,0,87,22,1,54.9,188.9,1800,1690,120,110,40,107,0.106,65,0,0.642,0.0,0.258,0,0,0
2022-02-16,2022,2,2,0,0,81,22,3,75.7,183.3,1800,1578,120,100,40,105,0.121,69,0,0.617,0.0,0.0,0,0,0
2022-02-17,2022,2,3,0,0,76,30,0,79.1,199.0,1800,1636,120,107,41,110,0.087,68,0,0.591,0.0,0.0,0,0,0
2022-02-18,2022,2,4,0,0,81,12,7,94.1,213.1,1800,1601,120,86,40,106,0.118,77,0,0.564,0.0,0.0,0,0,0
2022-02-19,2022,2,5,1,0,84,25,3,96.3,214.8,1800,1581,120,94,32,86,0.108,72,0,0.536,0.0,0.0,0,0,0
2022-02-20,2022,2,6,1,0,85,18,3,85.9,200.9,1800,1658,120,92,33,87,0.096,68,0,0.508,0.0,0.0,0,0,0
2022-02-21,2022,2,0,0,0,92,31,2,66.6,161.1,1800,1570,120,83,41,109,0.089,70,0,0.48,0.0,0.0,0,0,0
2022-02-22,2022,2,1,0,0,76,31,0,53.2,163.1,1800,1484,120,101,39,103,0.143,68,0,0.452,0.0,0.0,0,0,0
2022-02-23,2022,2,2,0,0,75,19,4,57.8,165.3,1800,1535,120,92,42,111,0.077,80,0,0.425,0.0,0.0,0,0,0
2022-02-24,2022,2,3,0,0,72,20,3,73.8,176.4,1800,1606,120,98,41,108,0.099,68,0,0.397,0.0,0.0,0,0,0
2022-02-25,2022,2,4,0,0,74,17,1,63.8,197.1,1800,1596,120,108,42,111,0.077,68,0,0.37,0.0,0.0,0,0,0
2022-02-26,2022,2,5,1,0,81,17,1,77.0,164.1,1800,1488,120,91,31,84,0.127,71,0,0.344,0.0,0.0,0,0,0
2022-02-27,2022,2,6,1,0,88,22,3,66.5,184.6,1800,1532,120,91,32,86,0.108,81,0,0.319,0.0,0.0,0,0,0
2022-02-28,2022,2,0,0,0,83,19,1,72.9,185.8,1800,1538,120,94,42,111,0.076,77,0,0.294,0.0,0.0,0,0,0
2022-03-01,2022,3,1,0,0,71,22,1,59.0,172.8,1800,1515,120,96,41,109,0.09,79,0,0.0,0.0,0.0,0,0,0
2022-03-02,2022,3,2,0,0,59,23,2,54.4,152.2,1800,1460,120,87,41,110,0.085,76,0,0.0,0.0,0.0,0,0,0
2022-03-03,2022,3,3,0,0,61,18,1,53.3,144.4,1800,1501,120,86,42,112,0.07,72,0,0.0,0.0,0.0,0,0,0
2022-03-04,2022,3,4,0,0,65,21,3,58.8,174.2,1800,1495,120,96,41,109,0.095,84,0,0.0,0.0,0.0,0,0,0
2022-03-05,2022,3,5,1,0,71,22,4,65.3,171.4,1800,1576,120,92,33,88,0.088,75,0,0.0,0.0,0.0,0,0,0
2022-03-06,2022,3,6,1,0,70,18,0,59.8,187.8,1800,1578,120,78,33,88,0.084,73,0,0.0,0.0,0.0,0,0,0
2022-03-07,2022,3,0,0,0,77,20,3,45.2,154.1,1800,1527,120,83,41,111,0.079,81,0,0.0,0.0,0.0,0,0,0
2022-03-08,2022,3,1,0,0,67,27,1,56.7,168.2,1800,1513,120,99,41,109,0.089,74,0,0.0,0.0,0.0,0,0,0
2022-03-09,2022,3,2,0,0,63,19,0,46.6,167.9,1800,1542,120,92,41,110,0.085,75,0,0.0,0.0,0.0,0,0,0
2022-03-10,2022,3,3,0,0,65,16,2,66.0,183.2,1800,1490,120,85,41,110,0.081,86,0,0.0,0.0,0.0,0,0,0
2022-03-11,2022,3,4,0,0,63,14,0,55.5,191.4,1800,1473,120,89,42,112,0.067,82,0,0.0,0.0,0.0,0,0,0
2022-03-12,2022,3,5,1,0,65,17,1,76.4,173.0,1800,1484,120,90,32,85,0.114,78,0,0.0,0.0,0.0,0,0,0
2022-03-13,2022,3,6,1,0,65,19,1,72.0,173.9,1800,1500,120,94,34,90,0.059,80,0,0.0,0.0,0.0,0,0,0
2022-03-14,2022,3,0,0,0,71,27,1,49.7,149.1,1800,1472,120,82,41,109,0.089,86,0,0.0,0.0,0.0,0,0,0
2022-03-15,2022,3,1,0,0,70,16,2,66.7,175.7,1800,1543,120,85,42,111,0.074,76,0,0.0,0.0,0.0,0,0,0
2022-03-16,2022,3,2,0,0,64,22,3,86.4,229.8,1800,1574,120,92,40,106,0.115,77,0,0.0,0.0,0.0,0,0,0
2022-03-17,2022,3,3,0,0,64,20,1,62.9,161.0,1800,1449,120,89,42,113,0.062,84,0,0.0,0.0,0.0,0,0,0
2022-03-18,2022,3,4,0,0,63,17,6,72.1,192.8,1800,1536,120,93,42,112,0.065,84,0,0.0,0.0,0.0,0,0,0
2022-03-19,2022,3,5,1,0,70,24,2,77.6,219.7,1800,1523,120,83,34,90,0.061,90,0,0.0,0.0,0.0,0,0,0
2022-03-20,2022,3,6,1,0,71,13,4,76.4,181.7,1800,1553,120,92,33,88,0.086,81,0,0.0,0.0,0.0,0,0,0
2022-03-21,2022,3,0,0,0,73,18,4,65.8,147.2,1800,1534,120,97,43,114,0.053,76,0,0.0,0.0,0.0,0,0,0
2022-03-22,2022,3,1,0,0,70,28,2,65.3,188.8,1800,1456,120,93,42,112,0.07,83,0,0.0,0.0,0.0,0,0,0
2022-03-23,2022,3,2,0,0,62,24,1,60.9,162.2,1800,1466,120,91,43,116,0.037,85,0,0.0,0.0,0.0,0,0,0
2022-03-24,2022,3,3,0,0,61,20,2,58.9,179.3,1800,1536,120,89,41,110,0.085,77,0,0.0,0.0,0.0,0,0,0
2022-03-25,2022,3,4,0,0,63,28,2,61.8,231.1,1800,1590,120,85,42,112,0.07,83,0,0.0,0.0,0.0,0,0,0
2022-03-26,2022,3,5,1,0,65,16,2,69.9,191.9,1800,1415,120,90,34,91,0.05,78,0,0.0,0.0,0.0,0,0,0
2022-03-27,2022,3,6,1,0,71,25,5,75.5,204.5,1800,1553,120,98,32,86,0.102,88,0,0.0,0.0,0.0,0,0,0
2022-03-28,2022,3,0,0,0,72,26,2,68.7,160.1,1800,1599,120,89,43,114,0.054,88,0,0.0,0.0,0.0,0,0,0
2022-03-29,2022,3,1,0,0,68,25,1,64.2,189.0,1800,1526,120,85,41,108,0.096,81,0,0.0,0.0,0.0,0,0,0
2022-03-30,2022,3,2,0,0,66,21,6,51.5,164.1,1800,1564,120,87,42,112,0.066,90,0,0.0,0.0,0.0,0,0,0
2022-03-31,2022,3,3,0,0,63,24,1,52.4,186.5,1800,1497,120,91,40,107,0.112,90,0,0.0,0.0,0.0,0,0,0
2022-04-01,2022,4,4,0,0,60,20,5,59.8,187.9,1800,1519,120,88,41,109,0.095,77,0,0.0,0.0,0.0,0,0,0
2022-04-02,2022,4,5,1,0,62,15,1,53.3,161.4,1800,1438,120,93,34,90,0.06,81,0,0.0,0.0,0.0,0,0,0
2022-04-03,2022,4,6,1,0,61,21,0,71.1,182.3,1800,1399,120,93,34,90,0.062,84,0,0.0,0.0,0.0,0,0,0
2022-04-04,2022,4,0,0,0,67,14,1,62.8,173.2,1800,1576,120,95,41,109,0.092,76,0,0.0,0.0,0.0,0,0,0
2022-04-05,2022,4,1,0,0,57,19,0,53.5,132.5,1800,1472,120,99,42,111,0.075,81,0,0.0,0.0,0.0,0,0,0
2022-04-06,2022,4,2,0,0,54,16,0,61.9,157.2,1800,1501,120,96,42,111,0.077,79,0,0.0,0.0,0.0,0,0,0
2022-04-07,2022,4,3,0,0,52,15,2,51.3,143.1,1800,1451,120,84,40,107,0.105,89,0,0.0,0.0,0.0,0,0,0
2022-04-08,2022,4,4,0,0,55,18,0,58.9,149.2,1800,1449,120,85,42,112,0.065,81,0,0.0,0.0,0.0,0,0,0
2022-04-09,2022,4,5,1,0,63,18,1,71.1,185.0,1800,1516,120,90,33,88,0.082,86,0,0.0,0.0,0.0,0,0,0
2022-04-10,2022,4,6,1,0,59,17,4,72.8,200.6,1800,1486,120,87,32,86,0.099,81,0,0.0,0.0,0.0,0,0,0
2022-04-11,2022,4,0,0,0,66,25,1,62.5,182.0,1800,1546,120,83,41,108,0.096,77,0,0.0,0.0,0.0,0,0,0
2022-04-12,2022,4,1,0,0,66,12,0,53.6,132.3,1800,1550,120,87,42,111,0.077,88,0,0.0,0.0,0.0,0,0,0
2022-04-13,2022,4,2,0,0,57,7,4,47.9,171.1,1800,1543,120,87,42,111,0.074,75,0,0.0,0.0,0.0,0,0,0
2022-04-14,2022,4,3,0,0,58,21,0,58.0,166.7,1800,1538,120,86,43,115,0.045,76,0,0.0,0.0,0.0,0,0,0
2022-04-15,2022,4,4,0,0,55,14,2,56.5,195.6,1800,1611,120,88,42,113,0.059,80,0,0.0,0.0,0.0,0,0,0
2022-04-16,2022,4,5,1,0,61,16,3,64.0,186.2,1800,1468,120,97,33,88,0.086,85,0,0.0,0.0,0.0,0,0,0
2022-04-17,2022,4,6,1,0,59,16,3,69.6,193.2,1800,1523,120,91,33,89,0.077,80,0,0.0,0.0,0.0,0,0,0
2022-04-18,2022,4,0,0,1,69,24,0,64.8,170.2,1800,1587,120,105,31,83,0.081,76,0,0.0,0.0,0.0,0,0,0
2022-04-19,2022,4,1,0,0,65,16,0,66.3,207.3,1800,1594,120,91,40,108,0.101,80,0,0.0,0.0,0.0,0,0,0
2022-04-20,2022,4,2,0,0,53,14,4,61.4,184.5,1800,1449,120,88,42,113,0.056,79,0,0.0,0.0,0.0,0,0,0
2022-04-21,2022,4,3,0,0,57,15,0,56.7,166.1,1800,1509,120,90,42,111,0.075,75,0,0.0,0.0,0.0,0,0,0
2022-04-22,2022,4,4,0,0,59,17,0,73.4,176.4,1800,1599,120,92,41,110,0.084,83,0,0.0,0.0,0.0,0,0,0
2022-04-23,2022,4,5,1,0,60,22,4,75.8,178.7,1800,1553,120,93,34,90,0.066,77,0,0.0,0.0,0.0,0,0,0
2022-04-24,2022,4,6,1,0,58,21,4,103.0,217.5,1800,1536,120,102,32,86,0.109,79,0,0.0,0.0,0.0,0,0,0
2022-04-25,2022,4,0,0,0,67,15,0,53.8,213.7,1800,1514,120,85,41,108,0.098,85,0,0.0,0.0,0.0,0,0,0
2022-04-26,2022,4,1,0,0,60,15,2,57.0,143.5,1800,1505,120,95,41,110,0.086,86,0,0.0,0.0,0.0,0,0,0
2022-04-27,2022,4,2,0,0,59,17,1,56.2,180.6,1800,1541,120,91,40,106,0.116,79,0,0.0,0.0,0.0,0,0,0
2022-04-28,2022,4,3,0,0,56,21,2,53.6,150.3,1800,1512,120,81,43,114,0.05,80,0,0.0,0.0,0.0,0,0,0
2022-04-29,2022,4,4,0,0,63,21,0,55.6,148.1,1800,1523,120,95,41,110,0.08,79,0,0.0,0.0,0.0,0,0,0
2022-04-30,2022,4,5,1,0,61,18,0,89.6,207.0,1800,1530,120,98,33,88,0.087,89,0,0.0,0.0,0.0,0,0,0
2022-05-01,2022,5,6,1,1,59,21,0,78.7,222.2,1800,1484,120,85,23,62,0.062,78,0,0.0,0.0,0.0,0,0,0
2022-05-02,2022,5,0,0,0,64,21,1,70.9,206.3,1800,1550,120,90,41,110,0.086,78,0,0.0,0.0,0.0,0,0,0
2022-05-03,2022,5,1,0,0,60,13,1,67.1,210.9,1800,1678,120,80,42,113,0.058,82,0,0.0,0.0,0.0,0,0,0
2022-05-04,2022,5,2,0,0,59,20,1,58.6,151.5,1800,1425,120,82,41,109,0.094,78,0,0.0,0.0,0.0,0,0,0
2022-05-05,2022,5,3,0,0,55,21,1,73.4,193.6,1800,1538,120,96,40,108,0.101,77,0,0.0,0.0,0.0,0,0,0
2022-05-06,2022,5,4,0,0,56,17,1,62.1,160.0,1800,1480,120,87,41,110,0.085,76,0,0.0,0.0,0.0,0,0,0
2022-05-07,2022,5,5,1,0,63,17,4,68.5,199.0,1800,1552,120,83,34,92,0.043,85,0,0.0,0.0,0.0,0,0,0
2022-05-08,2022,5,6,1,1,58,17,2,80.5,192.7,1800,1524,120,91,23,62,0.061,84,0,0.0,0.0,0.0,0,0,0
2022-05-09,2022,5,0,0,0,61,23,2,45.3,156.1,1800,1562,120,87,41,109,0.091,85,0,0.0,0.0,0.0,0,0,0
2022-05-10,2022,5,1,0,0,56,15,1,63.9,185.9,1800,1584,120,87,41,110,0.08,87,0,0.0,0.0,0.0,0,0,0
2022-05-11,2022,5,2,0,0,54,14,3,66.6,157.6,1800,1531,120,94,44,117,0.026,80,0,0.0,0.0,0.0,0,0,0
2022-05-12,2022,5,3,0,0,49,13,3,61.0,157.4,1800,1582,120,83,40,107,0.105,89,0,0.0,0.0,0.0,0,0,0
2022-05-13,2022,5,4,0,0,57,20,1,50.4,164.2,1800,1394,120,85,41,110,0.083,86,0,0.0,0.0,0.0,0,0,0
2022-05-14,2022,5,5,1,0,58,16,1,72.4,199.1,1800,1607,120,91,34,90,0.064,87,0,0.0,0.0,0.0,0,0,0
2022-05-15,2022,5,6,1,0,55,13,4,89.7,219.9,1800,1541,120,96,32,86,0.1,86,0,0.0,0.0,0.0,0,0,0
2022-05-16,2022,5,0,0,0,60,23,2,66.2,174.0,1800,1579,120,97,42,112,0.066,80,0,0.0,0.0,0.0,0,0,0
2022-05-17,2022,5,1,0,0,60,18,5,50.9,153.0,1800,1455,120,86,42,112,0.066,79,0,0.0,0.0,0.0,0,0,0
2022-05-18,2022,5,2,0,0,57,18,2,58.4,149.3,1800,1476,120,96,41,110,0.087,81,0,0.0,0.0,0.0,0,0,0
2022-05-19,2022,5,3,0,0,58,23,1,69.8,184.0,1800,1529,120,85,40,106,0.116,76,0,0.0,0.0,0.0,0,0,0
2022-05-20,2022,5,4,0,0,63,21,2,53.1,171.1,1800,1520,120,101,40,107,0.112,82,0,0.0,0.0,0.0,0,0,0
2022-05-21,2022,5,5,1,0,60,17,1,71.2,178.2,1800,1536,120,83,33,88,0.087,76,0,0.0,0.0,0.0,0,0,0
2022-05-22,2022,5,6,1,0,55,10,4,83.6,171.8,1800,1580,120,98,33,87,0.089,75,0,0.0,0.0,0.0,0,0,0
2022-05-23,2022,5,0,0,0,56,19,1,62.8,145.9,1800,1426,120,86,41,109,0.096,89,0,0.0,0.0,0.0,0,0,0
2022-05-24,2022,5,1,0,0,60,12,4,68.8,194.6,1800,1574,120,102,43,113,0.055,85,0,0.0,0.0,0.0,0,0,0
2022-05-25,2022,5,2,0,0,53,16,1,70.2,198.7,1800,1521,120,94,41,109,0.093,83,0,0.0,0.0,0.0,0,0,0
2022-05-26,2022,5,3,0,1,54,17,1,79.8,196.1,1800,1510,120,84,32,84,0.065,80,0,0.0,0.0,0.0,0,0,0
2022-05-27,2022,5,4,0,0,53,18,1,60.6,154.0,1800,1442,120,87,41,110,0.086,84,0,0.0,0.0,0.0,0,0,0
2022-05-28,2022,5,5,1,0,59,14,5,60.1,151.6,1800,1548,120,95,33,89,0.075,88,0,0.0,0.0,0.0,0,0,0
2022-05-29,2022,5,6,1,0,62,16,1,57.4,166.9,1800,1391,120,96,33,87,0.09,85,0,0.0,0.0,0.0,0,0,0
2022-05-30,2022,5,0,0,0,63,16,1,53.7,173.0,1800,1556,120,90,41,110,0.082,84,0,0.0,0.0,0.0,0,0,0
2022-05-31,2022,5,1,0,0,59,15,0,59.1,178.3,1800,1440,120,90,44,118,0.019,82,0,0.0,0.0,0.0,0,0,0
2022-06-01,2022,6,2,0,0,49,18,0,44.4,180.4,1800,1519,120,95,41,110,0.084,80,0,0.0,0.0,0.0,0,0,0
2022-06-02,2022,6,3,0,0,46,17,1,55.6,158.4,1800,1510,120,91,41,109,0.093,85,0,0.0,0.0,0.0,0,0,0
2022-06-03,2022,6,4,0,0,51,13,1,73.2,198.7,1800,1580,120,82,41,109,0.089,90,0,0.0,0.0,0.0,0,0,0
2022-06-04,2022,6,5,1,0,56,19,0,68.2,169.9,1800,1507,120,85,33,89,0.078,81,0,0.0,0.0,0.0,0,0,0
2022-06-05,2022,6,6,1,0,61,14,3,57.2,184.1,1800,1479,120,91,32,85,0.113,81,0,0.0,0.0,0.0,0,0,0
2022-06-06,2022,6,0,0,1,63,12,2,67.6,181.4,1800,1489,120,97,31,82,0.086,81,0,0.0,0.0,0.0,0,0,0
2022-06-07,2022,6,1,0,0,58,16,1,69.3,195.2,1800,1585,120,100,41,109,0.089,81,0,0.0,0.0,0.0,0,0,0
2022-06-08,2022,6,2,0,0,50,15,3,65.6,162.7,1800,1545,120,95,34,90,0.25,90,0,0.0,0.0,0.0,0,1,0
2022-06-09,2022,6,3,0,0,47,10,1,66.9,176.8,1800,1496,120,92,34,92,0.237,86,0,0.0,0.0,0.0,0,1,0
2022-06-10,2022,6,4,0,0,49,11,1,59.4,140.9,1800,1504,120,94,35,95,0.212,80,0,0.0,0.0,0.0,0,1,0
2022-06-11,2022,6,5,1,0,54,23,3,70.8,166.2,1800,1432,120,86,29,79,0.181,81,0,0.0,0.0,0.0,0,1,0
2022-06-12,2022,6,6,1,0,62,13,3,76.9,183.0,1800,1537,120,89,28,75,0.22,81,0,0.0,0.0,0.0,0,1,0
2022-06-13,2022,6,0,0,0,58,15,1,71.6,156.6,1800,1421,120,85,34,91,0.245,76,0,0.0,0.0,0.0,0,1,0
2022-06-14,2022,6,1,0,0,56,20,1,66.2,170.9,1800,1557,120,83,42,111,0.073,83,0,0.0,0.0,0.0,0,0,0
2022-06-15,2022,6,2,0,0,50,6,1,68.5,201.2,1800,1533,120,97,40,108,0.1,87,0,0.0,0.0,0.184,0,0,0
2022-06-16,2022,6,3,0,0,53,21,1,45.5,163.1,1800,1656,120,96,41,109,0.088,85,0,0.0,0.0,0.196,0,0,0
2022-06-17,2022,6,4,0,0,53,16,0,29.6,126.6,1800,1468,120,99,40,107,0.111,78,0,0.0,0.0,0.209,0,0,0
2022-06-18,2022,6,5,1,0,57,13,2,67.9,158.4,1800,1523,120,99,33,88,0.079,85,0,0.0,0.0,0.222,0,0,0
2022-06-19,2022,6,6,1,0,57,19,2,77.8,177.5,1800,1626,120,97,33,87,0.095,85,0,0.0,0.0,0.235,0,0,0
2022-06-20,2022,6,0,0,0,59,13,2,78.7,190.6,1800,1594,120,100,41,108,0.096,78,0,0.0,0.0,0.249,0,0,0
2022-06-21,2022,6,1,0,0,58,19,1,45.3,144.4,1800,1493,120,96,40,106,0.116,83,0,0.0,0.0,0.262,0,0,0
2022-06-22,2022,6,2,0,0,52,18,2,58.2,213.4,1800,1544,120,99,43,114,0.052,83,0,0.0,0.0,0.276,0,0,0
2022-06-23,2022,6,3,0,0,48,10,0,47.9,147.9,1800,1532,120,93,41,111,0.078,86,0,0.0,0.0,0.29,0,0,0
2022-06-24,2022,6,4,0,0,50,13,1,63.4,171.8,1800,1548,120,100,40,107,0.104,75,0,0.0,0.0,0.304,0,0,0
2022-06-25,2022,6,5,1,0,57,15,2,95.2,182.3,1800,1496,120,102,32,85,0.119,76,0,0.0,0.0,0.318,0,0,0
2022-06-26,2022,6,6,1,0,63,17,1,66.3,159.7,1800,1530,120,94,33,87,0.093,80,0,0.0,0.0,0.332,0,0,0
2022-06-27,2022,6,0,0,0,62,14,0,57.0,158.0,1800,1449,120,99,41,110,0.082,73,0,0.0,0.0,0.346,0,0,0
2022-06-28,2022,6,1,0,0,57,15,2,77.5,208.4,1800,1543,120,95,40,108,0.104,79,0,0.0,0.0,0.36,0,0,0
2022-06-29,2022,6,2,0,0,54,15,2,57.2,177.9,1800,1561,120,96,40,107,0.106,84,0,0.0,0.0,0.373,0,0,0
2022-06-30,2022,6,3,0,0,55,16,0,51.1,139.9,1800,1525,120,93,41,110,0.082,75,0,0.0,0.0,0.386,0,0,0
2022-07-01,2022,7,4,0,0,56,18,1,66.3,174.3,1800,1454,120,108,41,108,0.096,79,0,0.0,0.0,0.399,0,0,0
2022-07-02,2022,7,5,1,0,59,12,3,66.2,207.8,1800,1595,120,107,32,85,0.113,87,0,0.0,0.0,0.411,0,0,0
2022-07-03,2022,7,6,1,0,63,13,0,102.5,195.9,1800,1562,120,104,31,84,0.128,80,0,0.0,0.0,0.423,0,0,0
2022-07-04,2022,7,0,0,0,65,19,2,69.4,180.8,1800,1503,120,113,40,107,0.105,79,0,0.0,0.0,0.434,0,0,0
2022-07-05,2022,7,1,0,0,65,20,3,62.0,178.2,1800,1528,120,100,41,109,0.092,80,0,0.0,0.0,0.444,0,0,0
2022-07-06,2022,7,2,0,0,56,15,0,68.1,192.5,1800,1463,120,118,41,109,0.09,74,0,0.0,0.0,0.454,0,0,0
2022-07-07,2022,7,3,0,0,51,17,3,87.0,179.2,1800,1489,120,100,40,108,0.102,74,0,0.0,0.0,0.463,0,0,0
2022-07-08,2022,7,4,0,0,52,14,2,87.3,197.8,1800,1516,120,103,41,109,0.089,82,0,0.0,0.0,0.471,0,0,0
